Marca temporal,Genero,Origen,Edad,¿Eres económicamente independiente? ,Clima,Cantidad_plantas,Parte_predominante_casa,Conocimiento_sobre_plantas,Plantas_recomendadas,Mascotas_infantes,Adquisicion_plantas,Atencion_plantas,Respuesta_planta_mustia,Prefiere_florecer,Preferencia_tonos,Tiempo_para_ti,Paciencia,Sentimientos_adquisicion,Duracion_plantas,Tipo_vivienda
2024/05/04 4:07:21 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Tengo nociones básicas,Filodendro;Crasula/ Suculenta de Jade,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Indiferencia,Las prefiero de plástico para que no se mueran,Adosado
2024/05/04 4:08:09 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Interior,Nada,Costilla de Adán;Cactus de Navidad;Violeta africana;Cactus de jade;Kalanchoe;Croton;Geranio;Begonia;Caléndula,No,Decoración;Perfumar el entorno,La verdad que no,Le echo agua,"No, prefiero que no tengan flores",Cálidos,Tengo algo de tiempo libre,No,Realización,Meses,Chalet
2024/05/04 4:09:56 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",6-10,Exterior,Tengo nociones básicas,Espatifilo;Helecho de Boston;Costilla de Adán;Cactus de jade;Aloe vera;Aeonium;Echeveria;Planta de araña;Lavanda;Hosta;Petunia;Fucsia;Begonia,"Sí, tiran de las hojas y las tiran (o lo intentan)","Decoración;Mejorar la calidad del aire;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Realización,Años,Chalet
2024/05/04 4:10:56 p. m. EEST,Hombre,España,26 – 30,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Helecho de Boston;Violeta africana;Pothos;Planta de araña;Philodendron;Nephthytis,No,Decoración,La verdad que no,Le echo agua,Si,Me es indiferente,Tengo algo de tiempo libre,No,Indiferencia,Años,Chalet
2024/05/04 4:11:35 p. m. EEST,Hombre,Cataluña ,Menos de 18 años,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Ambos por igual,Tengo nociones básicas,Espatifilo;Begonia rex;Tradescantia,"Sí, intentan comérselas",Decoración,La verdad que no,Nunca se me ponen mustias,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Chalet
2024/05/04 4:13:12 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",+10,Interior,Tengo nociones básicas,Peperomia,No,Decoración,La verdad que no,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 4:16:51 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Exterior,Tengo nociones básicas,Cinta;Helecho de Boston;Begonia rex;Cactus de Navidad;Planta de serpiente/ Espada de San Jorge;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia;Aeonium;Echeveria;Agave;Palmera de bambú;Dracaena marginata;Lavanda;Salvia;Geranio;Begonia;Caléndula,No,"Decoración;Perfumar el entorno;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 4:18:57 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",+10,Exterior,Tengo nociones básicas,Cinta;Helecho de Boston;Filodendro;Violeta africana;Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Aeonium;Echeveria;Planta de araña;Philodendron;Dieffenbachia,"Sí, son tóxicas",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 4:23:16 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Exterior,Tengo nociones básicas,Espatifilo;Filodendro;Begonia rex;Tradescantia;Cactus de Navidad;Palo de Brasil;Violeta africana;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Ficus benjamina;Aeonium;Hiedra inglesa;Croton;Lavanda;Salvia;Astilbe;Geranio;Petunia;Fucsia;Begonia;Caléndula,"Sí, intentan comérselas","Decoración;Perfumar el entorno;Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo;Me la recomendaron",Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,No tengo tiempo libre,Si,Realización,Meses,Adosado
2024/05/04 4:26:28 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Exterior,Tengo nociones básicas,Fittonia;Ficus benjamina;Sedum;Agave;Lavanda;Begonia;Caléndula,"Sí, intentan comérselas","Por sus frutos/ especies aromáticas (tomillo, albahaca)",La verdad que no,Nunca se me ponen mustias,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 4:28:09 p. m. EEST,Hombre,España,31 – 48,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Interior,Nada,Helecho de Boston;Cactus de Navidad;Cactus de bola,No,Decoración;Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Si,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 4:32:33 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",1,Interior,Tengo nociones básicas,Echeveria;Planta de araña;Dracaena marginata;Astilbe,No,Decoración;Mejorar la calidad del aire,Les hago bastante caso,Le echo agua,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/04 4:39:34 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Exterior,Tengo nociones básicas,Cinta;Helecho de Boston;Palo de Brasil;Cactus de jade;Echeveria;Hiedra inglesa;Palmera de bambú,No,Decoración;Mejorar la calidad del aire;Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,No tengo tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 4:39:55 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Nada,Helecho de Boston;Planta de serpiente/ Espada de San Jorge;Aloe vera;Lavanda;Albahaca y Menta,"Sí, tiran de las hojas y las tiran (o lo intentan)","Decoración;Mejorar la calidad del aire;Perfumar el entorno;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Cuando me acuerdo,Le echo agua,Si,Fríos,Tengo algo de tiempo libre,Si,Realización,Años,Chalet
2024/05/04 4:40:01 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Ambos por igual,Me he informado bastante,Crasula/ Suculenta de Jade;Cactus de bola;Sedum;Aeonium;Echeveria;Agave;Dracaena marginata;Lavanda;Salvia;Geranio,No,"Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 4:44:55 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",0,Exterior,Tengo nociones básicas,Planta de serpiente/ Espada de San Jorge;Cactus de jade;Ficus benjamina;Aloe vera;Planta de araña,No,Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,No,Alegría,Semanas,Apartamento
2024/05/04 4:49:02 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",1,Interior,Nada,Palo de Brasil;Aloe vera;Echeveria;Lavanda,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Fue un regalo,La verdad que no,Le echo agua,Si,Fríos,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 4:52:06 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Ambos por igual,Tengo nociones básicas,Orquídea phalaenopsis;Aloe vera;Cactus de bola,No,Fue un regalo,Cuando me acuerdo,Le echo agua,Me es indiferente,Fríos,Tengo bastante tiempo libre,No,Alegría,Meses,Apartamento
2024/05/04 4:53:01 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",6-10,Exterior,Me he informado bastante,Cactus de jade;Cactus de bola;Haworthia;Philodendron;Nephthytis;Dieffenbachia;Lavanda;Petunia,"Sí, son tóxicas",Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/04 4:57:56 p. m. EEST,Hombre,LATAM,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Exterior,Tengo nociones básicas,Espatifilo;Filodendro;Cactus de jade;Hiedra inglesa;Nephthytis;Dieffenbachia;Lavanda;Caléndula,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 5:02:20 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Interior,Tengo nociones básicas,Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Aeonium;Lavanda;Petunia;Fucsia,No,Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 5:03:37 p. m. EEST,Hombre,LATAM,26 – 30,Sí,Oceánico templado,6-10,Exterior,Me he informado bastante,Helecho de Boston;Palo de Brasil;Crasula/ Suculenta de Jade;Cactus de bola;Petunia,No,La planté de cero;Me la recomendaron,Les hago bastante caso,Me informo de qué le puede pasar,Si,Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Chalet
2024/05/04 5:08:18 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",6-10,Exterior,Tengo nociones básicas,Philodendron;Salvia;Geranio,"Sí, son tóxicas",Decoración;Mejorar la calidad del aire,Les hago bastante caso,Le echo agua,Si,Cálidos,Tengo algo de tiempo libre,Si,Realización,Meses,Chalet
2024/05/04 5:08:52 p. m. EEST,Hombre,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",0,Exterior,Nada,Espatifilo;Peperomia;Echeveria,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Mejorar la calidad del aire;Perfumar el entorno,Les hago bastante caso,Me informo de qué le puede pasar,Si,Fríos,Tengo bastante tiempo libre,Si,Angustia,Años,Apartamento
2024/05/04 5:11:39 p. m. EEST,Hombre,España,31 – 48,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Nada,Hiedra inglesa,"Sí, son tóxicas",Decoración,La verdad que no,Le echo agua,"No, prefiero que no tengan flores",Fríos,Tengo algo de tiempo libre,No,Indiferencia,Años,Chalet
2024/05/04 5:12:43 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Espatifilo;Cactus de Navidad;Violeta africana;Pothos;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia;Aeonium;Echeveria;Agave;Planta de araña;Hosta;Geranio;Petunia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Fue un regalo;La planté de cero,Les hago bastante caso,Nunca se me ponen mustias,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 5:19:01 p. m. EEST,Hombre,LATAM,26 – 30,Sí,Tropical ,6-10,Exterior,Nada,Helecho de Boston;Costilla de Adán;Peperomia;Tradescantia;Pilea;Palo de Brasil;Pothos;Ficus lyrata;Cactus de jade;Aloe vera;Aeonium;Hiedra inglesa;Philodendron;Dieffenbachia;Lavanda;Hosta;Caléndula,"Sí, tiran de las hojas y las tiran (o lo intentan)","Mejorar la calidad del aire;Para mi mascota;Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo;La planté de cero",Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 5:20:09 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Cinta;Pothos;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia;Aeonium;Echeveria;Kalanchoe;Agave;Lavanda;Salvia;Hosta;Geranio;Petunia;Caléndula,No,"Decoración;Mejorar la calidad del aire;Por sus frutos/ especies aromáticas (tomillo, albahaca);La planté de cero",Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,No tengo tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 5:27:15 p. m. EEST,Hombre,España,26 – 30,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Interior,Tengo nociones básicas,Aloe vera;Cactus de bola;Echeveria;Philodendron,No,Decoración,Cuando me acuerdo,Le echo agua,"No, prefiero que no tengan flores",Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 5:29:07 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Interior,Tengo nociones básicas,Palo de Brasil;Aloe vera;Echeveria;Agave;Planta de araña;Lavanda,"Sí, intentan comérselas",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Fríos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 5:38:30 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",1,Exterior,Tengo nociones básicas,Espatifilo;Filodendro;Peperomia;Pilea;Cactus de jade;Dieffenbachia,No,Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 5:38:34 p. m. EEST,Mujer,España,31 – 48,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",+10,Exterior,Soy un/a experto/a,Helecho de Boston;Filodendro;Pilea;Violeta africana;Pothos;Ficus lyrata;Kalanchoe,"Sí, son tóxicas",Decoración,Les hago bastante caso,Nunca se me ponen mustias,Si,Me es indiferente,Tengo algo de tiempo libre,No,Realización,Años,Chalet
2024/05/04 5:40:21 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",6-10,Ambos por igual,Tengo nociones básicas,Helecho de Boston;Filodendro;Crasula/ Suculenta de Jade;Ficus benjamina;Aloe vera;Cactus de bola,No,Decoración;Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 5:45:56 p. m. EEST,Hombre,LATAM,18 – 25,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",1,Exterior,Tengo nociones básicas,Helecho de Boston;Cactus de jade;Haworthia;Petunia,"Sí, intentan comérselas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 5:46:00 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Exterior,Tengo nociones básicas,Costilla de Adán;Tradescantia;Pothos;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Echeveria;Lavanda;Salvia,No,Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Fríos,Tengo algo de tiempo libre,No,Indiferencia,Años,Apartamento
2024/05/04 5:48:13 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Espatifilo;Orquídea phalaenopsis;Ficus benjamina,No,Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,No tengo tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 5:48:44 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",1,Exterior,Nada,Violeta africana;Kalanchoe;Geranio;Petunia,No,Decoración,La verdad que no,Le echo agua,Si,Fríos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 5:51:24 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Interior,Tengo nociones básicas,"Helecho de Boston;Costilla de Adán;Ficus lyrata;Philodendron;Lavanda;Geranio;Ave del paraíso, Plantas carnívoras, Kentia, ","Sí, son tóxicas",Decoración;Para mi mascota,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 5:57:26 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Cinta;Espatifilo;Cactus de Navidad;Pothos;Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade;Echeveria;Agave;Planta de araña;Croton;Geranio;Caléndula,"Sí, intentan comérselas",Decoración;Fue un regalo;Me la recomendaron,Todos los días compruebo su estado,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo bastante tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 6:00:29 p. m. EEST,Mujer,España,18 – 25,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Interior,Soy un/a experto/a,Cinta;Helecho de Boston;Palo de Brasil;Orquídea phalaenopsis;Aloe vera;Planta de araña;Lavanda;,"Sí, son tóxicas",Decoración;Perfumar el entorno;Para mi mascota,Todos los días compruebo su estado,Me informo de qué le puede pasar,Me es indiferente,Fríos,No tengo tiempo libre,Si,Realización,Años,Apartamento
2024/05/04 6:07:37 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Exterior,Nada,Dracaena marginata,No,Fue un regalo,La verdad que no,Le echo agua,Si,Fríos,Tengo algo de tiempo libre,No,Indiferencia,Meses,Chalet
2024/05/04 6:09:35 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Ambos por igual,Tengo nociones básicas,Helecho de Boston;Peperomia;Palo de Brasil;Planta de serpiente/ Espada de San Jorge;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Echeveria;Philodendron;Palmera de bambú;Lavanda;Geranio;Fucsia,"Sí, son tóxicas",Decoración;Mejorar la calidad del aire;Fue un regalo,Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,No,Alegría,Meses,Chalet
2024/05/04 6:12:22 p. m. EEST,Hombre,LATAM,18 – 25,No,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",2-5,Exterior,Tengo nociones básicas,Costilla de Adán;Violeta africana;Pothos;Planta de serpiente/ Espada de San Jorge;Aloe vera;Cactus de bola;Haworthia;Agave;Nephthytis;Lavanda;Geranio;Petunia;Begonia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Fue un regalo;Me la recomendaron,Cuando me acuerdo,Le echo agua,"No, prefiero que no tengan flores",Fríos,Tengo bastante tiempo libre,Si,Alegría,Meses,Adosado
2024/05/04 6:12:47 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",0,Ambos por igual,Tengo nociones básicas,Cinta;Helecho de Boston;Filodendro;Costilla de Adán;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Cactus de jade;Crasula/ Suculenta de Jade;Ficus benjamina;Aloe vera;Echeveria;Planta de araña;Palmera de bambú;Dieffenbachia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración,Les hago bastante caso,Le echo agua,"No, prefiero que no tengan flores",Fríos,Tengo algo de tiempo libre,No,Angustia,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 6:14:36 p. m. EEST,Hombre,España,26 – 30,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",6-10,Exterior,Tengo nociones básicas,Pothos;Aloe vera;Planta de araña,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Para mi mascota;Me la recomendaron,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 6:16:12 p. m. EEST,Hombre,LATAM,26 – 30,Sí,Tropical Pacífico ( por ejemplo Centro América) ,2-5,Exterior,Tengo nociones básicas,Violeta africana;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Aloe vera,"Sí, son tóxicas",Decoración;Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Angustia,Meses,Adosado
2024/05/04 6:19:26 p. m. EEST,Hombre,LATAM,31 – 48,Sí,Templado subhumedo México ,+10,Exterior,Tengo nociones básicas,Espatifilo;Helecho de Boston;Filodendro;Cactus de Navidad;Violeta africana;Pothos;Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade;Aloe vera;Aeonium;Echeveria;Kalanchoe;Hiedra inglesa;Lavanda;Geranio;Fucsia,"Sí, son tóxicas","Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Le echo agua,Si,Me es indiferente,Tengo algo de tiempo libre,No,Alegría,Años,Chalet
2024/05/04 6:20:17 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Cinta;Filodendro;Begonia rex;Tradescantia;Pothos;Sedum;Hiedra inglesa;Begonia,"Sí, son tóxicas",Decoración;Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 6:20:36 p. m. EEST,Hombre,Andorra,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Interior,Nada,Ficus lyrata;Ficus benjamina;Aloe vera;Lavanda,"Sí, son tóxicas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 6:24:31 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",0,Ambos por igual,Tengo nociones básicas,Costilla de Adán;Tradescantia;Palo de Brasil,No,Decoración,La verdad que no,Me deshago de ella,Si,Fríos,Tengo bastante tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 6:29:33 p. m. EEST,Hombre,Chile,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Espatifilo;Costilla de Adán;Peperomia;Cactus de Navidad;Pothos;Planta de serpiente/ Espada de San Jorge;Aloe vera,"Sí, pueden clavárselas",Decoración;Mejorar la calidad del aire;Perfumar el entorno,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 6:34:42 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Exterior,Nada,Planta de serpiente/ Espada de San Jorge;Cactus de jade;Aloe vera;Planta de araña,No,Fue un regalo,La verdad que no,Nunca se me ponen mustias,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Indiferencia,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 6:35:07 p. m. EEST,Hombre,LATAM,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Costilla de Adán;Palo de Brasil;Agave,No,Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 6:40:36 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Me he informado bastante,"Pothos;Orquídea phalaenopsis;Ficus benjamina;Lavanda;Geranio;En general plantas autóctonas de porte arbustivo (p.ej romero, jara o tomillo)",No,Decoración;Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
